bidder-code,bidder-name,banner,video,native,schain,dchain,tcfeu,coppa,gpp,usp,safeframes,deals,client-adapter,server-adapter,user-ids,mobile-apps,floors,fpd,prebid-member,ortb-blocking,multiformat,aliasOf,adapterFilename
,152Media,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,no,yes,none,yes,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
1accord,1Accord,yes,yes,yes,yes,no,yes,check with bidder,some (check with bidder),yes,yes,yes,yes,yes,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",nexx360,nexx360BidAdapter
33across,33Across,yes,yes,no,yes,no,yes,yes,some (check with bidder),yes,yes,yes,yes,yes,all,yes,yes,yes,yes,check with bidder,"will-bid-on-any",,33acrossBidAdapter
360playvid,360PlayVid,yes,yes,yes,yes,check with bidder,yes,yes,usstate_all,yes,yes,no,yes,yes,all,yes,yes,no,no,no,"will-bid-on-one",,360playvidBidAdapter
9dotsmedia,9Dots Media,yes,yes,no,yes,check with bidder,yes,yes,some (check with bidder),yes,yes,no,yes,no,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,adtelligent,adtelligentBidAdapter
a1media,A1Media,yes,yes,yes,yes,no,no,no,None,no,check with bidder,no,yes,no,none,check with bidder,yes,check with bidder,no,partial,"will-bid-on-one",,a1mediaBidAdapter
a4g,A4G,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,a4gBidAdapter
aax,AAX,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,yes,yes,no,check with bidder,"will-not-bid",medianet,medianetBidAdapter
ablida,ablida,yes,yes,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,ablidaBidAdapter
aceex,Aceex,yes,yes,yes,yes,check with bidder,no,yes,check with bidder,yes,yes,yes,no,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,aceexBidAdapter
acuityads,AcuityAds,yes,yes,yes,yes,check with bidder,yes,yes,some (check with bidder),yes,yes,yes,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,acuityadsBidAdapter
ad2iction,Ad2iction,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,ad2ictionBidAdapter
adWMG,adWMG,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,adWMGBidAdapter
adagio,Adagio,yes,yes,yes,yes,no,yes,yes,some (check with bidder),yes,yes,no,yes,yes,all,yes,yes,no,yes,no,"will-bid-on-any",,adagioBidAdapter
adasta,Adasta Media,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,appnexus,appnexusBidAdapter
adbite,Adbite,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
adblender,AdBlender,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,admixer,admixerBidAdapter
adbookpsp,AdBookPSP,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,adbookpspBidAdapter
adbro,ADBRO,yes,no,no,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,all,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,adbroBidAdapter
adbutler,AdButler,yes,no,no,check with bidder,check with bidder,no,no,check with bidder,no,yes,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,adbutlerBidAdapter
addefend,AdDefend,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,addefendBidAdapter
addigi,Addigi,yes,yes,yes,yes,yes,no,yes,check with bidder,yes,yes,yes,yes,yes,none,yes,yes,no,no,check with bidder,"will-bid-on-any",smarthub,smarthubBidAdapter
adelement,AdElement,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,no,yes,none,yes,check with bidder,check with bidder,no,check with bidder,"will-bid-on-one",,adelementBidAdapter
adf,AdformOpenRTB,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,yes,check with bidder,yes,check with bidder,"will-bid-on-one",,adfBidAdapter
